L1,L2,C1,C2,Omega_1,Omega_2,Omega_3
3.282202e-08,1.083801e-09,2.915996e-07,4.513728e-09,1.022172e+07,8.145742e+07,4.521240e+08
5.275021e-07,9.865716e-08,2.966243e-09,1.098800e-07,2.528044e+07,2.351465e+07,9.604536e+06
1.937297e-08,3.613728e-07,4.705536e-09,2.706588e-08,1.047363e+08,2.559677e+07,1.011140e+07
2.158873e-07,1.440549e-08,1.254934e-09,3.253698e-09,6.075416e+07,6.924416e+07,1.460654e+08
1.727073e-09,1.121041e-08,1.349585e-08,5.932580e-08,2.071307e+08,8.384620e+07,3.877639e+07
1.460297e-09,4.402989e-09,6.495283e-07,1.267948e-08,3.246985e+07,1.171054e+08,1.338368e+08
6.336799e-09,8.551278e-09,4.077624e-08,3.479781e-08,6.221018e+07,5.981188e+07,5.797070e+07
1.410983e-08,7.394641e-08,2.573064e-08,1.309819e-08,5.248241e+07,3.617147e+07,3.213185e+07
1.501529e-09,2.465211e-09,4.631757e-07,1.741514e-07,3.791930e+07,4.463011e+07,4.826246e+07
2.043482e-08,1.314909e-09,4.333805e-07,1.587065e-07,1.062625e+07,1.989453e+07,6.922368e+07
3.632753e-08,3.288185e-08,8.235620e-08,3.022567e-08,1.828243e+07,2.556323e+07,3.172006e+07
1.379366e-08,1.138474e-07,1.466968e-08,1.067555e-09,7.029913e+07,8.872858e+07,9.070751e+07
1.079202e-07,2.865243e-07,2.097643e-09,6.442283e-08,6.646343e+07,3.532637e+07,7.360365e+06
9.208995e-08,1.057707e-07,1.426899e-07,3.721523e-08,8.723630e+06,1.308534e+07,1.593885e+07
1.205523e-07,1.697698e-08,1.194976e-07,8.074005e-07,8.331680e+06,8.357844e+06,8.541325e+06
3.979836e-09,3.586013e-09,2.174697e-07,3.175652e-07,3.399132e+07,3.199974e+07,2.963314e+07
6.958263e-08,1.813938e-09,1.208234e-08,5.315580e-09,3.448848e+07,6.159694e+07,3.220427e+08
4.296005e-07,3.430958e-08,3.627266e-09,1.008545e-09,2.533249e+07,5.226472e+07,1.699983e+08
5.640416e-07,3.128708e-07,1.554797e-09,4.890703e-08,3.376817e+07,2.750938e+07,8.084103e+06
1.437798e-07,5.216645e-07,2.247665e-08,7.202872e-09,1.759079e+07,1.659793e+07,1.631366e+07
5.936453e-09,4.620308e-09,1.675819e-07,2.697350e-07,3.170465e+07,3.027266e+07,2.832669e+07
5.212829e-09,3.064218e-09,8.637250e-07,1.599703e-09,1.490306e+07,2.750707e+08,4.516692e+08
1.173519e-08,1.930260e-07,1.449091e-09,2.144788e-08,2.424974e+08,5.998258e+07,1.554175e+07
4.385397e-07,9.535710e-08,1.037921e-07,2.322029e-08,4.687199e+06,9.935241e+06,2.125150e+07
2.679022e-07,6.583668e-07,1.888821e-09,2.209754e-07,4.445458e+07,2.400956e+07,2.621767e+06
5.509680e-08,9.659430e-07,3.532450e-08,6.426705e-09,2.266725e+07,1.342088e+07,1.269200e+07
5.562332e-09,2.647910e-08,1.256878e-09,1.587722e-08,3.782030e+08,1.636970e+08,4.877094e+07
1.131295e-08,1.386817e-07,3.811484e-09,2.321541e-07,1.522877e+08,4.216492e+07,5.573170e+06
1.119391e-07,6.008497e-08,7.936172e-07,8.990724e-09,3.355085e+06,2.557138e+07,4.302489e+07
2.749494e-09,4.205753e-09,5.219488e-08,4.336280e-09,8.347562e+07,1.895026e+08,2.341636e+08
2.295702e-09,1.574685e-07,2.034659e-09,1.268257e-09,4.626967e+08,8.950753e+07,7.076191e+07
2.581628e-09,7.875506e-07,1.879750e-09,4.281591e-09,4.539448e+08,3.112684e+07,1.722099e+07
7.246932e-07,6.724975e-08,7.750610e-09,6.805520e-09,1.334305e+07,1.866712e+07,4.674380e+07
1.924011e-08,1.334710e-09,9.058080e-08,2.090610e-09,2.395400e+07,1.542234e+08,5.986459e+08
1.194504e-07,2.159865e-07,1.745406e-08,2.958900e-09,2.190069e+07,3.432686e+07,3.955683e+07
1.248910e-08,3.083534e-08,9.463980e-09,6.001073e-08,9.198087e+07,5.313682e+07,2.324669e+07
1.132490e-08,1.167574e-08,2.897076e-08,1.722045e-09,5.520812e+07,1.635483e+08,2.230157e+08
1.606014e-09,3.306256e-09,1.784913e-08,2.076055e-09,1.867741e+08,3.308507e+08,3.816913e+08
4.228447e-07,3.988351e-07,4.504605e-09,8.230050e-07,2.291296e+07,1.648184e+07,1.745429e+06
1.631749e-08,2.196254e-07,9.184026e-07,3.099928e-08,8.168771e+06,1.188856e+07,1.211945e+07
1.711453e-07,6.694578e-08,2.253084e-08,3.364744e-08,1.610382e+07,1.764201e+07,2.106989e+07
5.314659e-09,9.107197e-09,1.399657e-09,8.808368e-09,3.666498e+08,2.396082e+08,1.116503e+08
8.592616e-09,9.917427e-08,1.558755e-09,9.463534e-07,2.732425e+08,7.721928e+07,3.264178e+06
3.390279e-09,1.344607e-07,1.046224e-07,9.379799e-09,5.309699e+07,2.902970e+07,2.815824e+07
3.059311e-07,3.684828e-09,3.599959e-07,2.524645e-08,3.013279e+06,1.170055e+07,1.036791e+08
7.233525e-07,2.260359e-07,4.309082e-07,1.899895e-08,1.791153e+06,7.608206e+06,1.525972e+07
1.493841e-09,4.169441e-09,5.062549e-09,1.012581e-09,3.636330e+08,4.574506e+08,4.866831e+08
2.308357e-07,4.542292e-09,6.954901e-08,9.924230e-08,7.892290e+06,1.019291e+07,4.709926e+07
7.911831e-08,3.062030e-08,8.643279e-09,4.515177e-07,3.824038e+07,3.277921e+07,8.504678e+06
7.094001e-07,4.630195e-09,1.335938e-09,9.804094e-07,3.248338e+07,3.239994e+07,1.484214e+07
5.538352e-08,6.749554e-09,8.528346e-08,5.528993e-08,1.455048e+07,2.190457e+07,5.176539e+07
1.425785e-07,1.063335e-08,1.060282e-09,3.005388e-07,8.133215e+07,7.859733e+07,1.768946e+07
1.513482e-08,1.522254e-09,3.324601e-08,4.177590e-08,4.458016e+07,5.694585e+07,1.253988e+08
3.477344e-07,3.218486e-08,3.968154e-07,3.047744e-09,2.692042e+06,2.950030e+07,1.009683e+08
6.375809e-09,1.865816e-09,9.330130e-09,7.921588e-07,1.296548e+08,1.147076e+08,2.601114e+07
1.863508e-08,1.860336e-09,2.660611e-07,1.047210e-07,1.420181e+07,2.548141e+07,7.164527e+07
6.255334e-09,2.403730e-07,3.252124e-09,1.661908e-07,2.217130e+08,3.565358e+07,5.003267e+06
2.146505e-07,7.604227e-07,2.276448e-07,3.398001e-09,4.523819e+06,1.750197e+07,1.967255e+07
2.029740e-08,5.666177e-09,9.222432e-09,3.023171e-09,7.308985e+07,1.300630e+08,2.416148e+08
2.522611e-07,2.183822e-07,1.871187e-07,9.427567e-08,4.602738e+06,5.821747e+06,6.969338e+06
6.756170e-08,1.557730e-09,1.861114e-09,1.115774e-07,8.917913e+07,8.890079e+07,7.585178e+07
8.861417e-09,6.226241e-07,8.567501e-08,5.415031e-08,3.629287e+07,6.908499e+06,5.446112e+06
3.033621e-09,1.423126e-08,4.022478e-08,7.795168e-08,9.052583e+07,4.672229e+07,3.002379e+07
4.292479e-08,1.353074e-07,1.062735e-09,7.684678e-07,1.480585e+08,7.271005e+07,3.101175e+06
4.721027e-07,6.230671e-08,2.658290e-09,7.108058e-09,2.822803e+07,3.109943e+07,4.751789e+07
2.482491e-09,6.071985e-08,8.444424e-09,3.515211e-09,2.184093e+08,7.984205e+07,6.844771e+07
4.544053e-09,2.743716e-08,6.004872e-08,2.040755e-08,6.053777e+07,4.530907e+07,4.226053e+07
1.372563e-08,4.784168e-07,1.933378e-08,9.102378e-07,6.138687e+07,1.036001e+07,1.515372e+06
7.592466e-09,1.838871e-08,4.805819e-07,8.118966e-09,1.655484e+07,6.943175e+07,8.184158e+07
3.258724e-09,4.333364e-08,1.026483e-09,3.875304e-08,5.467644e+08,1.465020e+08,2.440251e+07
6.951539e-07,3.596205e-07,5.750784e-07,6.087020e-07,1.581598e+06,1.790564e+06,2.137349e+06
3.576422e-08,1.831728e-07,1.101415e-09,7.168638e-07,1.593309e+08,6.444633e+07,2.759632e+06
9.874800e-08,3.455615e-07,1.913996e-09,3.733169e-07,7.273866e+07,3.437931e+07,2.784188e+06
8.400796e-09,6.596659e-08,3.710656e-09,5.298843e-09,1.791078e+08,7.849522e+07,5.348690e+07
3.434283e-08,1.095934e-07,2.845820e-07,4.133895e-07,1.011529e+07,6.420227e+06,4.698164e+06
6.292634e-08,5.066026e-09,7.105419e-08,7.460053e-07,1.495509e+07,1.505674e+07,1.626655e+07
3.487722e-09,2.119784e-07,7.338006e-07,2.445988e-09,1.976697e+07,4.363209e+07,4.391643e+07
7.192694e-07,5.104645e-09,2.531990e-09,7.550131e-08,2.343275e+07,2.373834e+07,5.093778e+07
1.171663e-08,2.013776e-09,6.940672e-09,3.683508e-09,1.108914e+08,1.739701e+08,3.671670e+08
2.015548e-09,1.078366e-07,9.466007e-07,2.412341e-09,2.289391e+07,6.150763e+07,6.200083e+07
3.744624e-09,3.395882e-09,8.323554e-08,1.733680e-07,5.664238e+07,4.990315e+07,4.121348e+07
2.031855e-07,1.103151e-08,1.092480e-09,2.600632e-07,6.711922e+07,6.550532e+07,1.866995e+07
2.177583e-07,8.728186e-08,1.140938e-07,1.742205e-07,6.344269e+06,6.895629e+06,8.109393e+06
4.712876e-07,1.695765e-07,8.333476e-09,2.042473e-07,1.595673e+07,1.396007e+07,5.373275e+06
7.341468e-08,2.010580e-07,1.509619e-09,1.265953e-08,9.498934e+07,5.197325e+07,1.982123e+07
6.882739e-09,2.999788e-07,1.670460e-09,1.673114e-09,2.949180e+08,6.243864e+07,4.463669e+07
5.354898e-07,2.516705e-08,1.544188e-08,1.096157e-07,1.099700e+07,1.147942e+07,1.903915e+07
3.665238e-07,1.494588e-08,1.670015e-08,2.914616e-09,1.278170e+07,3.250204e+07,1.515125e+08
3.017213e-07,4.786102e-09,1.552884e-08,1.087840e-08,1.460924e+07,2.258339e+07,1.385883e+08
1.135780e-07,9.418020e-07,1.178678e-09,1.322802e-08,8.642814e+07,2.958917e+07,8.959273e+06
7.691478e-07,7.979628e-07,4.373481e-09,7.115642e-09,1.724176e+07,1.534875e+07,1.327094e+07
2.518958e-09,5.428350e-09,3.101650e-09,1.826850e-08,3.577611e+08,2.178442e+08,1.004187e+08
