L1,L2,C1,C2,Omega_1,Omega_2,Omega_3
3.940340e-09,1.071717e-09,1.933448e-07,1.249376e-09,3.622988e+07,4.009074e+08,8.641983e+08
3.756762e-08,2.582309e-09,2.278260e-07,1.311463e-08,1.080915e+07,4.481599e+07,1.718375e+08
4.911880e-08,9.701352e-07,4.129593e-08,7.870697e-08,2.220355e+07,6.018585e+06,3.618906e+06
8.418184e-09,5.692565e-07,3.526789e-09,2.851737e-08,1.835275e+08,2.348488e+07,7.848583e+06
7.978103e-09,1.119543e-09,4.681439e-07,3.528195e-09,1.636291e+07,1.771698e+08,5.031569e+08
1.863216e-08,4.548260e-09,1.623584e-09,5.387586e-09,1.818155e+08,1.859517e+08,2.020134e+08
5.529327e-07,1.823138e-08,9.121658e-08,1.235434e-07,4.452736e+06,5.776298e+06,2.107078e+07
1.278943e-07,6.401702e-09,1.312116e-08,4.708714e-09,2.441115e+07,4.635593e+07,1.821382e+08
5.980081e-09,4.249727e-09,1.118581e-09,3.778396e-09,3.866453e+08,3.365447e+08,2.495547e+08
3.190597e-08,1.722881e-07,5.448575e-09,3.911062e-09,7.584423e+07,4.637876e+07,3.852344e+07
1.842411e-09,4.162000e-07,9.148103e-08,2.314852e-09,7.702668e+07,3.255027e+07,3.221717e+07
1.217027e-09,9.338660e-09,2.482641e-09,2.030055e-08,5.752980e+08,2.069441e+08,7.262796e+07
2.207182e-09,8.069213e-09,5.424934e-07,7.115982e-08,2.889906e+07,3.933023e+07,4.173179e+07
1.425786e-09,6.819927e-09,2.028441e-08,7.987058e-07,1.859481e+08,7.829801e+07,1.354930e+07
2.291274e-07,4.788256e-07,3.017126e-08,8.258388e-07,1.202720e+07,6.966150e+06,1.590244e+06
2.860246e-08,1.672477e-07,1.404764e-08,9.644978e-09,4.988806e+07,2.988080e+07,2.489828e+07
5.224867e-09,5.935981e-07,1.799246e-07,5.952201e-07,3.261499e+07,3.476627e+06,1.682345e+06
4.716311e-07,6.290454e-09,1.317456e-07,2.570825e-07,4.011721e+06,4.901130e+06,2.486696e+07
7.734581e-09,8.897507e-07,1.734959e-07,3.032815e-08,2.729839e+07,6.569714e+06,6.087555e+06
1.206535e-07,4.057558e-09,8.547722e-09,4.038700e-08,3.113901e+07,3.371398e+07,7.811723e+07
8.708256e-09,3.258490e-09,2.902142e-07,1.721076e-09,1.989185e+07,2.210019e+08,4.222715e+08
3.130244e-08,5.311733e-07,5.212406e-07,6.244984e-08,7.828739e+06,5.646179e+06,5.490555e+06
1.376816e-09,9.259704e-07,3.051952e-07,2.208426e-08,4.878352e+07,7.236156e+06,6.992944e+06
5.231814e-08,2.639909e-08,1.135921e-07,1.298672e-07,1.297178e+07,1.447953e+07,1.707874e+07
2.684414e-08,4.199698e-07,2.051167e-07,1.499892e-08,1.347643e+07,1.265411e+07,1.259972e+07
